rank	genome_size
TEKIR-12S sp004524435	2770204
TEKIR-14 sp004524445	2792701
WTCK01 sp013138615	1469369
B79-G9 sp003660865	1201421
GLR112 sp013139905	1312510
EX4484-52 sp002254415	614182
EX4484-52 sp003660905	832169
GLR71 sp013138765	1262712
GLR71 sp013138805	1333838
JAADEF01 sp013153555	569906
LFW-46 sp902384675	1197762
B88-G9 sp003660555	1295439
DSZJ01 sp011361855	1007016
DSZJ01 sp011367145	566837
DTKF01 sp011367225	1017128.5
DTKF01 sp011370445	743315
B75-G9 sp003661465	730922
B75-G9 sp012962055	745249
DG-33 sp001515185	786381
DG-33 sp004375695	962070
Hadarchaeum sp014361095	1196065
Hadarchaeum yellowstonense	1207121.5
WYZ-LMO6 sp004347925	1241441
WYZ-LMO6 sp011367165	794431
Archaeoglobus fulgidus	2117380.4
Archaeoglobus fulgidus_A	1538442.3333333333
Archaeoglobus sp002507545	2263166.2
Archaeoglobus_A sp002010195	2158951.5
Archaeoglobus_A sp002011215	2701738
Archaeoglobus_A sp002011235	2360045
Archaeoglobus_A sp002494625	1732149.5
Archaeoglobus_A sp003662985	2151393
Archaeoglobus_A sulfaticallidus	2076931
Archaeoglobus_B profundus	1563423
Archaeoglobus_B sp003663025	1869676
Archaeoglobus_C sp003663055	1448793
Archaeoglobus_C sp003978865	1106720
Archaeoglobus_C veneficus	1901943
B5-G16 sp003662995	2609224
Ferroglobus placidus	2196266
Geoglobus acetivorans	1860815
Geoglobus ahangari	1561065.5
Geoglobus ahangari_A	1326691.3333333333
Geoglobus sp002494725	1744059.3333333333
JdFR-22 sp002010045	2062531
JdFR-37 sp002010215	1972400
JdFR-41 sp002010285	1752477
WYZ-LMO2 fulgidus_A	1404184
WYZ-LMO2 fulgidus_B	1442246
WYZ-LMO2 sp004347825	1562415
WYZ-LMO2 sp004347865	1500696
WYZ-LMO2 sp011361745	1403570.5
WYZ-LMO2 sp011605865	1269726
JdFR-42 sp002010305	2138570.5
JdFR-21 sp002011165	1513093
JdFR-21 sp014361165	1166237
Bog-38 sp003139855	1616938.9411764706
Bog-38 sp003158275	1910618
Bog-38 sp003162175	1602154.2413793104
Bog-38 sp003170935	1490881
Haladaptatus cibarius	3926724
Haladaptatus litoreus	4671707
Haladaptatus paucihalophilus	4519653
Haladaptatus sp001625445	4896694
Haladaptatus sp003298465	5605381
Halorussus amylolyticus	3779259
Halorussus litoreus	3838315
Halorussus rarus	4372177
Halorussus ruber	4318307
Halorussus salinus	4753237
Halorussus sp003023465	2510763
Halorussus sp004087835	3490924
Halorussus sp004765795	3691690.5
Halorussus sp004765805	3933954
Halorussus sp005239435	5154608
Halorussus sp008831545	4450731
Halorussus sp010747475	4408556
Halalkalicoccus jeotgali	3650090
Halalkalicoccus paucihalophilus	3980410
Halalkalicoccus subterraneus	3610033
SKXI01 sp007128515	2468096
SKXI01 sp007129135	2630443
CBA1134 sp001950595	2667867.3333333335
CBA1134 sp003021175	2605664
CBA1134 sp003021785	2128333
CBA1134 sp003023185	2017518
CBA1134 sp009184545	2505918.3333333335
Halapricum salinum	3451774
Halapricum sp009741825	2965017
Haloarcula amylolytica	4225424
Haloarcula argentinensis	3960917
Haloarcula hispanica	4017516.090909091
Haloarcula japonica	4280359
Haloarcula marismortui	4310143.5
Haloarcula rubripromontorii	3949989.5
Haloarcula salina	3788104
Haloarcula sebkhae	4091744
Haloarcula sp001485575	4359264
Haloarcula sp005406125	4217270
Haloarcula sp008729015	4023774.5
Haloarcula taiwanensis	4147682
Haloarcula vallismortis	3909921
Halomarina oriensis	4069707
Halomarina oriensis_A	3654689
Halomarina sp003021975	2606427
Halomicroarcula limicola	3906684
Halomicroarcula pellucida	4446121.5
Halomicroarcula sp003020925	2198794
Halomicroarcula sp003021755	1729303
Halomicroarcula sp004681185	5038561
Halomicrobium katesii	3607771
Halomicrobium mukohataei	3264819
Halomicrobium sp003021685	2640161
Halomicrobium sp009617995	3362437.5
Halomicrobium zhouii	4250330
Halorhabdus rudnickae	3362504
Halorhabdus sp004944975	3464929
Halorhabdus sp009690625	2623025.5
Halorhabdus sp013839425	2859811
Halorhabdus tiamatea	3146362
Halorhabdus utahensis	3116795
Halorientalis persicus	4869758
Halorientalis regularis	4032197
Halorientalis sp001989615	3778989
Halorientalis sp004118325	4087668
Halorientalis sp005049285	3661127
Halosimplex carlsbadense	4694889
Halosimplex pelagicum	5199031
Halosimplex rubrum	4480147
Halosimplex sp003023165	2263312
Halosimplex sp003730195	5072893
Halosimplex sp004698125	4467366
Halovenus aranensis	3287116
Halovenus sp000416085	2982938
Halovenus sp001564135	2043236.5
Halovenus sp003021015	2561090.5
Halovenus sp003021285	1964974
Halovenus sp003021335	1487707
Halovenus sp003022085	1552872
Halovenus sp003022725	2631222
Halovenus sp003022845	1898683
Halovenus sp003551265	2911837
Halovenus sp003551945	2427444
Halovenus sp004015825	3757505
Halovenus sp009831575	3245916
HARCEL1 sp003058365	2723120
Natronomonas gomsonensis	3377131
Natronomonas moolapensis	2912573
Natronomonas pharaonis	2749696
Natronomonas salsuginis	2904418
Natronomonas sp003020965	2951928
Natronomonas sp003021005	2449050
Natronomonas sp003021325	1883019
Natronomonas sp003021745	2203208
Natronomonas sp003022815	1497262
Natronomonas sp003022905	1517518
Natronomonas sp003022945	2633186
Natronomonas sp003023535	1891299
Natronomonas sp007121575	1877326
Natronomonas sp007122455	2638761.5
Natronomonas sp007135435	3110843
Natronomonas sp009741925	3452035
Natronomonas sp013391085	3211682
Natronomonas sp013391105	3746575
Natronomonas sp013839515	2779522
QH-10-67-22 sp003021305	2518045
QS-1-68-17 sp003021105	2068820
QS-4-69-31 sp003021655	2736007
QS-4-70-19 sp003020985	2838640
QS-4-70-19 sp007421925	4004362
QS-5-68-33 sp003023785	2419052
QS-5-70-15 sp003022005	3211570
Salinibaculum litoreum	3732358
Salinirussus salinus	3369022
SW-10-68-16 sp003023485	1565971
SW-9-67-25 sp003022745	1786328
Halanaeroarchaeum sulfurireducens	2231619
Halarchaeum acidiphilum	2530366.5
Halarchaeum grantii	3115317.5
Halarchaeum nitratireducens	3141185
Halarchaeum rubridurum	2813544
Halobacterium hubeiense	3222428.375
Halobacterium jilantaiense	2952792
Halobacterium salinarum	2480667.8
Halobacterium sp000230955	3162560
Halobacterium sp001485535	3012807
Halobacterium sp009741975	2730868
Halobacterium sp009831555	3499479
Halobacterium sp011734195	2983094
Halocalculus aciditolerans	3380345
Halodesulfurarchaeum formicicum	2029114.5
Salarchaeum sp007833275	2523371
Halococcus agarilyticus	3476728
Halococcus hamelinensis	3401376.5
Halococcus morrhuae	2991556
Halococcus saccharolyticus	3449700
Halococcus salifodinae	4199784
Halococcus salsus	3697668.5
Halococcus sediminicola	3764367
Halococcus sp003021045	2573307
Halococcus sp003021235	3604584
Halococcus sp003021705	2832741
Halococcus sp003021725	3053165
Halococcus sp003022685	2246105.5
Halococcus sp003022925	3278370
Halococcus thailandensis	4052434
A07HB70 sp000496195	2389822
Halalkaliarchaeum desulfuricum	3313120
Halegenticoccus soli	4615401
Halegenticoccus sp004116405	4892524
Halobaculum gomorrense	3208246
Halobaculum sp003020945	2647290
Halobaculum sp009831625	3775766
Halobaculum sp013401515	4277959
Halobaculum sp013402875	4258755
Halobaculum tyrrellense	3675087
Halobellus captivus	3351536
Halobellus clavatus	3754978
Halobellus limi	3742927
Halobellus rufus	3852219
Halobellus salinus	3067519
Halobellus sp003665925	3871390
Halobellus sp003665935	3548073
Halobellus sp014212355	3490400
Haloferax denitrificans	3825973
Haloferax elongans	3952136
Haloferax gibbonsii	4129550.75
Haloferax larsenii	3796012.5
Haloferax massiliensis	4106316
Haloferax mediterranei	3903354.75
Haloferax mucosum	3368982
Haloferax prahovense	4022329.4
Haloferax sp001469865	3830759
Haloferax sp001469875	3958530.5
Haloferax sp001482285	3977555
Haloferax sp009674585	3487106
Haloferax sp009674605	3561692
Haloferax sp009674625	3480702
Haloferax sulfurifontis	3845656
Haloferax volcanii	3747786.411764706
Halogeometricum borinquense	3737525.4
Halogeometricum limi	3616269
Halogeometricum pallidum	4384515
Halogeometricum rufum	4141393.5
Halogranum amylolyticum	5185690
Halogranum gelatinilyticum	3770187
Halogranum rubrum	4529491
Halohasta litchfieldiae	3284590
Halohasta sp001563795	2181548.5
Halohasta sp003554115	1506249
Halolamina pelagica	3161068
Halolamina pelagica_B	2972542
Halolamina rubra	2955001
Halolamina sediminis	2835858
Halolamina sp000224475	3643158
Halolamina sp002025255	3465332
Halonotius pteroides	3009688
Halonotius roseus	2564341
Halonotius sp000496215	2460843
Halonotius sp003605575	2468392
Halonotius terrestris	2841436
Haloparvum sedimenti	3243052
Halopelagius inordinatus	3529311
Halopelagius longus	3875373.5
Halopenitus malekzadehii	3136824
Halopenitus persicus	3065335.3333333335
Halopenitus persicus_A	3105937
Haloplanus aerogenes	3505199.5
Haloplanus natans	3797935
Haloplanus rallus	3560302
Haloplanus rubicundus	3651483.5
Haloplanus salinus	3549098
Haloplanus vescus	2776859
Haloprofundus halophilus	3262521
Haloprofundus marisrubri	3929557
Haloquadratum sp000416005	3019909
Haloquadratum walsbyi	3135767
Haloquadratum walsbyi_A	3475501
Haloquadratum walsbyi_B	3594539
Halorubrum aethiopicum	3325770
Halorubrum aidingense	3108525
Halorubrum amylolyticum	3630756
Halorubrum aquaticum	3184102
Halorubrum californiense	3581087
Halorubrum cibi	3176020
Halorubrum coriense	3645313
Halorubrum depositum	3182860
Halorubrum distributum	3299665
Halorubrum ezzemoulense	3474627.117647059
Halorubrum halodurans	3320122
Halorubrum halophilum	3480178.5
Halorubrum hochstenium	3037532
Halorubrum kocurii	3619738
Halorubrum lacusprofundi	3534959
Halorubrum lipolyticum	3425042
Halorubrum persicum	3578349
Halorubrum saccharovorum	3423703
Halorubrum salsamenti	3674958
Halorubrum sodomense	3362628
Halorubrum sp000296615	3168011
Halorubrum sp000496175	2890468
Halorubrum sp000746205	2767463
Halorubrum sp001261915	3248714
Halorubrum sp001564205	1480846
Halorubrum sp002252755	3615498.8
Halorubrum sp002286985	3506649
Halorubrum sp003023405	2438325
Halorubrum sp003287355	3584929
Halorubrum sp003554605	1807302.5
Halorubrum sp003666015	4140427
Halorubrum sp003697845	3592980
Halorubrum sp003721435	3582278
Halorubrum sp003781945	3715460
Halorubrum sp003990725	3149869.5
Halorubrum sp004114375	3668425
Halorubrum sp005435165	3321212
Halorubrum sp009742825	3230170
Halorubrum sp009806985	3108822
Halorubrum tebenquichense	3328860
Halorubrum trapanicum	3080199
Halorubrum tropicale	3459713.625
Halorubrum vacuolatum	3477860
Halorubrum xinjiangense	3261379
J07HR59 sp000496235	2876249
N1521 sp003551725	3435256.5
N1521 sp005239175	3359672
N1521 sp005543295	3416214
PL-Br10-E2g29 sp001563965	1444735
Salinigranum halophilum	4337923.666666667
Salinigranum rubrum	4973118
Salinigranum salinum	4690830
Haloarchaeobius iranensis	3768606
Halobiforma haloterrestris	4495442
Halobiforma lacisalsi	4360059.5
Halobiforma_A nitratireducens	3688747
Halopiger aswanensis	4865231
Halopiger xanaduensis	4355268
Halopiger_A goleimassiliensis	3906364
Halopiger_B djelfimassiliensis	3776554
Halorubellus sp011440375	3764456
Halostagnicola kamekurae	4108147
Halostagnicola larsenii	4131176
Halostagnicola sp000691505	3178490
Haloterrigena salifodinae	4960699
Haloterrigena salina	4841607
Haloterrigena sp013342135	4773288.5
Haloterrigena turkmenica	5440782
Halovivax asiaticus	3238452
Halovivax ruber	3223876
Halovivax sp007119345	3855275
Halovivax sp007135505	2444395
Natrarchaeobaculum aegyptiacum	3930546
Natrarchaeobaculum sp001563805	2874982
Natrarchaeobaculum sp001563885	2006211
Natrarchaeobaculum sulfurireducens	3821374
Natrarchaeobius chitinivorans	4566486
Natrarchaeobius chitinivorans_A	4614480
Natrarchaeobius halalkaliphilus	3511219
Natrarchaeobius swarupiae	4182058
Natrialba aegyptia	4618362
Natrialba asiatica	4404175
Natrialba chahannaoensis	4309274
Natrialba hulunbeirensis	4159606
Natrialba magadii	4429971
Natrialba sp001861355	4580837
Natrialba taiwanensis	4635192
Natrinema altunense	3733372
Natrinema ejinorense	4476324
Natrinema gari	3828310.3333333335
Natrinema hispanicum	4256545
Natrinema hispanicum_A	3938873.5
Natrinema limicola	3522035
Natrinema mahii	3794337
Natrinema pallidum	3846953.5
Natrinema pellirubrum	4309277.5
Natrinema saccharevitans	3980616
Natrinema salaciae	4857017
Natrinema salifodinae	4311531.5
Natrinema sp002572525	5058058
Natrinema sp005938085	4263024
Natrinema sp013402815	4359796
Natrinema sp013456555	3779651
Natrinema thermotolerans	4013448
Natrinema versiforme	4190799
Natrinema versiforme_A	4674473
Natronobacterium gregoryi	3725291
Natronobacterium_A texcoconense	4009868
Natronococcus amylolyticus	4416525
Natronococcus jeotgali	4273918.5
Natronococcus occultus	4314118
Natronococcus sp003559215	3141282
Natronococcus sp008122205	5316806
Natronolimnobius baerhuensis	3903681.5
Natronolimnobius sp011043775	4562990
Natronolimnohabitans innermongolicus	4588634
Natronorubrum aibiense	4348483
Natronorubrum bangense	3676456.6666666665
Natronorubrum daqingense	3833359
Natronorubrum sediminis	3782545
Natronorubrum sp003670115	4704250.5
Natronorubrum sp009834785	4556774
Natronorubrum sulfidifaciens	3460288
Natronorubrum texcoconense	4641793
Natronorubrum thiooxidans	4209793
Natronorubrum tibetense	4930841
Saliphagus sp003344565	4606068
Tc-Br11 sp001564275	3202947
Tc-Br11 sp001564285	2330233
Tc-Br11 sp003552325	2333376
Tc-Br11-E2g1 sp001564255	2372582.5
Tc-Br11-E2g8 sp001564115	2645904
Tc-Br11-E2g8 sp003552885	1700439
XQ-INN-246 sp006543045	4521535
Natronoarchaeum philippinense	3164179
PXRE01 sp003021085	3385703
QS-1-68-20 sp007122875	1895399
Halostella litorea	3745232
Halostella pelagica	3905507
Halostella salina	3735525
Halostella sp003023565	2882595
Halostella sp003675875	4117009
Salinarchaeum sp000403645	3255260
SKNY01 sp007118975	3432512
SKNY01 sp007123105	1877821
SKSH01 sp007118075	1830711
SKSH01 sp007118145	1921670
SW-7-71-33 sp003022865	1759872
SW-7-71-33 sp003023195	3291641
UBA12382 sp002503845	1039075.5
UBA12382 sp009889625	1067804
UBA12382 sp009889685	920269
Methanocella conradii	2361197
Methanocella paludicola	2957635
Methanocella_A arvoryzae	3179916
Methanocella_A sp002067315	3243770
UBA148 sp002495885	1287155
UBA148 sp013415795	941283
Methanoliparum sp8915u	1001014.5
Methanoliparum thermophilum	1257141
Methanolliviera hydrocarbonicum	1664055
Methanolliviera sp902158735	1703955
Methanolliviera sp902158745	1753872
Methanocalculus sp002496395	2074195
Methanocalculus sp003838065	1777221
Methanocalculus sp003838185	1776967.6666666667
Methanocalculus sp007130455	1449139
Methanocalculus sp9912u	1922577
Methanocorpusculum labreanum	1804962
Methanocorpusculum parvum	1712777.25
Methanocorpusculum sp001940805	1965334
Methanocorpusculum sp002498375	1521496.6666666667
Methanocorpusculum sp002506085	1810882
Methanocorpusculum sp003315675	1697696
Methanoculleus bourgensis	2515423.8333333335
Methanoculleus chikugoensis	2627540
Methanoculleus chikugoensis_A	2254196.5
Methanoculleus horonobensis	2446106
Methanoculleus marisnigri	2478101
Methanoculleus marisnigri_B	2169124.1666666665
Methanoculleus sediminis	2489717
Methanoculleus sp000691865	2542436
Methanoculleus sp001896715	2687785
Methanoculleus sp002497965	1283083.5
Methanoculleus sp002498065	2408700
Methanoculleus sp002499455	2308968
Methanoculleus sp002501655	2669922
Methanoculleus sp002506585	2721090
Methanoculleus sp002508705	2653285.4285714286
Methanoculleus sp002839575	2547229
Methanoculleus sp002839645	2782193
Methanoculleus sp012510295	1900104
Methanoculleus sp012510335	1840777
Methanoculleus sp012511245	2224908
Methanoculleus sp012521035	2242638
Methanoculleus sp012797575	1964166.5
Methanoculleus thermohydrogenotrophicum	2155791
Methanoculleus thermophilus	2098484.5
Methanoculleus_A taiwanensis	2750720
UBA206 sp002503105	1617645
UBA207 sp002503135	1246533
Methanofollis ethanolicus	2713913
Methanofollis liminatans	2475100
Methanofollis sp002498315	2342296
Methanofollis sp004297185	2357249
Methanofollis tationis	2248716
DSDF01 sp011048835	1994405
LKUD01 sp001412355	2085722
LKUD01 sp013415665	1712362
Methanogenium cariaci	2686643
Methanogenium sp009914725	2189363
Methanogenium sp011045995	1568499
Methanogenium sp012523385	1669266
Methanolacinia paynteri	2791704
Methanolacinia petrolearia	2843290
Methanomicrobium mobile	1711791
Methanoplanus limicola	3200946
CAIKOD01 sp903819595	3246656.5555555555
CAIKOD01 sp903828975	2582402
Methanolinea sp002067095	2239790
Methanolinea sp002067155	1960856
Methanolinea sp002067485	1909505
Methanolinea sp002067685	2212452
Methanolinea sp002501965	1429912
Methanolinea sp002506105	2429050.8333333335
Methanolinea sp002509495	2197766
Methanolinea sp11423u	2011780.3333333333
Methanolinea tarda	2048009
Methanoregula boonei	2542943
Methanoregula formicica	2820858
Methanoregula sp002067035	2877984
Methanoregula sp002495055	2325673.6666666665
Methanoregula sp002495065	2424220
Methanoregula sp002497485	1751603
Methanoregula sp002502245	2225830.1666666665
Methanoregula sp002502735	2383967
Methanoregula sp002508495	1934647
Methanoregula sp002835825	2617107
Methanoregula sp002839605	2591348
Methanoregula sp002839675	2470082
Methanoregula sp003136075	2157464
Methanoregula sp003141335	2017260
Methanoregula sp003154335	1909719
Methanoregula sp003157895	1885969.3333333333
Methanoregula sp003170075	1921434
Methanoregula sp012798365	2640114
Methanoregula sp11803u	2181752
Methanoregula sp903832665	2724602.5
MVRE01 sp002067895	2312687
MVRE01 sp903900025	1745694
SD8 sp001412335	2165812
SD8 sp002509485	1660542
UBA467 sp002503825	2838694
UBA9949 sp002068435	2248835
UBA9949 sp002499905	1881549
UBA9949 sp012516785	1963109
UBA9949 sp013415565	1583495
UBA9949 sp013415575	1412598
UBA9949 sp10516u	1732923
Methanosphaerula palustris	2922917
UBA288 sp002495225	1930414
UBA288 sp004332335	2367119
UBA288 sp012728895	2276124
UBA288 sp11384u	2154672
CAIYHQ01 sp903926075	3244440.75
Methanospirillum hungatei	3234122
Methanospirillum hungatei_A	1642397
Methanospirillum lacunae	3743701
Methanospirillum sp012520015	2407371
Methanospirillum sp012729535	3094441
Methanospirillum sp012729995	2806632
Methanospirillum stamsii	3740742
WRER01 sp009779205	1245354
Methanohalarchaeum thermophilum	2141311
Methanonatronarchaeum sp004212035	1366549.5
Methanonatronarchaeum thermophilum	1513137
PZKD01 sp003034855	1422753
UBA203 sp002503595	2390467
UBA203 sp002506015	2368347
UBA203 sp003194445	3609340
UBA203 sp003601535	1670603
UBA203 sp003661105	2253386
UBA203 sp004211975	2656101
UBA203 sp012961645	1663990
UBA203 sp013572355	1688642
Ethanoperedens ethanivorans	1990850
Ethanoperedens sp004212095	1458808
Ethanoperedens thermophilum	1245937
EX4572-44 sp002254825	1285603
EX4572-44 sp002255135	1075924
HR1 sp002926195	2108392
QBUR01 sp013374385	1172639
UBA7939 sp009649835	1859330.6666666667
UBA7939 sp013374465	1726940
UBA7939 sp014237145	3010698.8
UBA7939 sp7939u	1325947.5
Methanoperedens nitroreducens	3144720.5
Methanoperedens nitroreducens_A	3524740
Methanoperedens sp002487355	3717163.5
Methanoperedens sp003104905	2913215
Methanoperedens sp012026795	3585555
Methanoperedens sp012026835	3321874
Methanoperedens sp902384525	2920541
Methanoperedens sp902386085	1686282
Methanoperedens sp902386115	2195305
Methanoperedens sp902386135	3243210
Methanoperedens sp902386205	2789873
Methanoperedens sp902386255	2601349
Methanoperedens_A sp002839545	1995263
UBA10536 sp10536u	1648413
JAAXQB01 sp012329085	2369335
Methanimicrococcus blatticola	1783317
Methanimicrococcus sp009776675	1397194
Methanimicrococcus sp009783635	1333240
Methanimicrococcus sp009784005	1688578
Methanimicrococcus sp012518265	1513574
Methanococcoides burtonii	2575032
Methanococcoides methylutens	2504478.5
Methanococcoides methylutens_A	2394636
Methanococcoides sp900774055	2482578
Methanococcoides vulcani	2326465.3333333335
Methanohalobium evestigatum	2406232
Methanohalophilus euhalobius	1836902
Methanohalophilus halophilus	2023686
Methanohalophilus mahii	2012424
Methanohalophilus portucalensis	2060862.75
Methanohalophilus sp003722075	1969036
Methanohalophilus sp004137855	1830088
Methanolobus profundi	3107200
Methanolobus psychrophilus	3072769
Methanolobus psychrotolerans	3164721
Methanolobus sp002501695	2306526
Methanolobus sp002507205	2326582
Methanolobus sp002508635	1971157
Methanolobus sp003565715	2130365.5
Methanolobus sp004745425	2592212
Methanolobus tindarius	3151883
Methanolobus vulcani	2947907
Methanolobus vulcani_A	2920174
Methanolobus zinderi	2679496.5
Methanomethylovorans hollandica	2274803.3333333335
Methanomethylovorans sp001896725	2181761
Methanomethylovorans sp002067265	1922116
Methanomethylovorans sp002067275	2098238
Methanomethylovorans sp002508425	2465993
Methanomethylovorans sp014361205	2148332
Methanosalsum natronophilum	1743851
Methanosalsum sp007127385	1333932
Methanosalsum zhilinae	2138444
Methanosarcina acetivorans	5004426.5
Methanosarcina barkeri	4459702
Methanosarcina barkeri_A	4560446
Methanosarcina barkeri_B	4890476
Methanosarcina flavescens	3233384
Methanosarcina horonobensis	4972723
Methanosarcina lacustris	4139808
Methanosarcina mazei	4055629.685714286
Methanosarcina siciliae	5128854.333333333
Methanosarcina sp000969965	4025714
Methanosarcina sp000979455	3989743.285714286
Methanosarcina sp001714685	4291352
Methanosarcina sp002496565	3558181
Methanosarcina sp002499445	2860637.0625
Methanosarcina sp002505485	3816059
Methanosarcina sp002509325	3084520.5
Methanosarcina sp003157235	2915408
Methanosarcina sp003164755	3468491
Methanosarcina sp004099695	3558779
Methanosarcina sp10923u	3295879
Methanosarcina sp11020u	4330639
Methanosarcina sp8098u	2340030
Methanosarcina spelaei	4674786.5
Methanosarcina thermophila	2991199.6666666665
Methanosarcina vacuolata	4558690
MTP4 sp000970045	4211468
MTP4 sp9310u	3855240
Fen-7 sp003162615	1969384.75
JAAEEW01 sp013415595	1938857
JABLXE01 sp013178225	2978549
Methanothrix soehngenii	2254535.6666666665
Methanothrix sp002067365	2776683
Methanothrix sp002067705	3437085
Methanothrix sp002067755	2032054.3333333333
Methanothrix sp002256595	1611454
Methanothrix sp002505805	2180037
Methanothrix sp003857025	3161014
Methanothrix sp011391755	1526061
Methanothrix sp011620785	2044302
Methanothrix sp012798025	1737089
Methanothrix sp902385025	2278623
Methanothrix sp903871465	3158816.888888889
Methanothrix_A harundinacea_A	2510428
Methanothrix_A harundinacea_B	2070930.75
Methanothrix_A harundinacea_D	2320010.6666666665
Methanothrix_A harundinacea_E	2235368
Methanothrix_A sp001602645	2361535.4285714286
Methanothrix_A sp9297u	2171495
Methanothrix_B thermoacetophila	1868867
MVQI01 sp002067795	2192616.5
UBA114 sp002506335	2412234
UBA204 sp002501765	1808468
JdFR-19 sp002010075	1288683
JdFR-19 sp003661015	815884
Methermicoccus shengliensis	1370293.2
ANME-1-THS sp004212135	2030246
ANME1a sp003194425	1208542
G60ANME1 sp003194435	1805851
JACGMN01 sp011049045	2003787
JACGMN01 sp014061035	1073849
QENH01 sp003336485	3182512
QENH01 sp009903405	1699735.5
QENH01 sp013139985	2125186
QENH01 sp013180565	2727246
QENJ01 sp013180585	2192919
QENJ01 sp013374505	2571212
QEXZ01 sp003160755	1898925
QEXZ01 sp003601795	1934883
QEXZ01 sp003661125	2212588
QEXZ01 sp013180605	2344285
WJOV01 sp009618475	1093430
B39-G2 sp003661185	1690640
Syntropharchaeum butanivorans	1464741
Syntropharchaeum_A caldarius	1666081
Huberarchaeum crystalense	465399
BMS3B sp002897955	1738368
BMS3B sp003229935	1722334.5
JAADFH01 sp013152995	827235
JAADFX01 sp013152685	1800810
Hydrothermarchaeum profundi	2062134
JAADFM01 sp013152845	1172964
J060 sp003695745	1284962
SZUA-236 sp002923215	1396356
SZUA-236 sp003230355	1270198
0-14-0-20-30-16 sp002779075	747636
0-14-0-20-30-16 sp903916665	974572
CSSED10-239 sp003559395	913608
Forterrea multitransposorum	880160.8
B1Sed10-29 sp003551125	402733
B1Sed10-29 sp003553825	473849
CSSED10-269 sp003558235	829326
B47-G15 sp003660975	1333875
0-14-0-20-34-12 sp002779065	940694
1-14-0-10-31-34 sp002763225	1044951
DTGL01 sp011334955	876817
GCA-2688035 sp002688035	745175
GW2011-AR10 sp000830275	1231982.5
Iainarchaeum andersonii	1098042
UBA10205 sp005239615	1137048
UBA10205 sp10205u	1432180
